"dictionary","rows","cols","reference_url"
"dictionary_combine",18,3,"https://nflreadr.nflverse.com/reference/dictionary_combine.html"
"dictionary_contracts",15,3,"https://nflreadr.nflverse.com/reference/dictionary_contracts.html"
"dictionary_depth_charts",12,3,"https://nflreadr.nflverse.com/reference/dictionary_depth_charts.html"
"dictionary_draft_picks",36,3,"https://nflreadr.nflverse.com/reference/dictionary_draft_picks.html"
"dictionary_espn_qbr",23,3,"https://nflreadr.nflverse.com/reference/dictionary_espn_qbr.html"
"dictionary_ff_opportunity",218,4,"https://nflreadr.nflverse.com/reference/dictionary_ff_opportunity.html"
"dictionary_ff_playerids",35,3,"https://nflreadr.nflverse.com/reference/dictionary_ff_playerids.html"
"dictionary_ff_rankings",25,3,"https://nflreadr.nflverse.com/reference/dictionary_ff_rankings.html"
"dictionary_ftn_charting",28,5,"https://nflreadr.nflverse.com/reference/dictionary_ftn_charting.html"
"dictionary_injuries",16,3,"https://nflreadr.nflverse.com/reference/dictionary_injuries.html"
"dictionary_nextgen_stats",51,3,"https://nflreadr.nflverse.com/reference/dictionary_nextgen_stats.html"
"dictionary_participation",26,3,"https://nflreadr.nflverse.com/reference/dictionary_participation.html"
"dictionary_pbp",372,3,"https://nflreadr.nflverse.com/reference/dictionary_pbp.html"
"dictionary_pfr_passing",28,3,"https://nflreadr.nflverse.com/reference/dictionary_pfr_passing.html"
"dictionary_player_stats",114,3,"https://nflreadr.nflverse.com/reference/dictionary_player_stats.html"
"dictionary_players",39,3,"https://nflreadr.nflverse.com/reference/dictionary_players.html"
"dictionary_roster_status",19,2,"https://nflreadr.nflverse.com/reference/dictionary_roster_status.html"
"dictionary_rosters",37,3,"https://nflreadr.nflverse.com/reference/dictionary_rosters.html"
"dictionary_schedules",45,3,"https://nflreadr.nflverse.com/reference/dictionary_schedules.html"
"dictionary_snap_counts",16,3,"https://nflreadr.nflverse.com/reference/dictionary_snap_counts.html"
"dictionary_team_stats",102,3,"https://nflreadr.nflverse.com/reference/dictionary_team_stats.html"
"dictionary_trades",11,3,"https://nflreadr.nflverse.com/reference/dictionary_trades.html"
