id_type,id_value,player_id,name,position,draft_year,birthdate,mfl_id,gsis_id,espn_id,dup_count
gsis_id,00-0022828,6412,Nate Jones,WR,2009,1985-12-30,9752,00-0022828,5730,2
gsis_id,00-0022828,7617,Nathan Jones,CB,2004,1982-06-13,7595,00-0022828,5730,2
gsis_id,00-0022888,4653,Jake Schum,PN,2014,1989-01-21,12483,00-0022888,5774,2
gsis_id,00-0022888,7646,Bobby McCray,DE,2004,1981-08-08,7639,00-0022888,5774,2
gsis_id,00-0026515,6156,Tony Carter,CB,2009,1986-05-24,10235,00-0026515,12771,2
gsis_id,00-0026515,9649,Tony Carter,RB,0,1972-08-23,1858,00-0026515,12771,2
gsis_id,00-0027349,5843,Stephen Williams,WR,2010,1986-06-29,10075,00-0027349,13490,2
gsis_id,00-0027349,7202,Stephen Williams,DT,2006,1981-09-21,8569,00-0027349,13490,2
gsis_id,00-0028488,4855,Duke Williams,S,2013,1990-10-15,11361,00-0028488,14660,2
gsis_id,00-0028488,5740,Mana Silva,S,2011,1988-08-17,10673,00-0028488,14660,2
gsis_id,00-0029435,5291,Damaris Johnson,WR,2012,1989-11-22,10953,00-0029435,15624,2
gsis_id,00-0029435,7968,Dennis Johnson,DE,2002,1979-12-04,6606,00-0029435,NULL,2
gsis_id,00-0030653,4588,Ray Agnew,RB,2014,1991-02-26,11983,00-0030653,17101,2
gsis_id,00-0030653,9498,Ray Agnew,DL,1990,1993-05-17,1883,00-0030653,17101,2
gsis_id,00-0031320,4649,Fred Williams,WR,2014,1988-04-15,12459,00-0031320,17257,2
gsis_id,00-0031320,4658,Kevin Smith,WR,2014,1991-12-21,12571,00-0031320,17257,2
gsis_id,00-0031636,3873,Justin Hamilton,DT,2016,1993-07-27,13502,00-0031636,2574009,2
gsis_id,00-0031636,7159,Justin Hamilton,S,2006,1982-09-17,8463,00-0031636,2574009,2
gsis_id,00-0032050,4263,Corey Moore,S,2015,1993-01-28,12982,00-0032050,2578554,2
gsis_id,00-0032050,8350,Corey Moore,LB,2000,1993-01-28,5738,00-0032050,2578554,2
sleeper_id,133,5578,Greg Jones,LB,2011,1988-10-05,10417,NULL,14172,2
sleeper_id,133,7498,Greg Jones,RB,2004,1981-05-09,7445,00-0022897,5580,2
sleeper_id,1899,4588,Ray Agnew,RB,2014,1991-02-26,11983,00-0030653,17101,2
sleeper_id,1899,9498,Ray Agnew,DL,1990,1993-05-17,1883,00-0030653,17101,2
sleeper_id,2295,4649,Fred Williams,WR,2014,1988-04-15,12459,00-0031320,17257,2
sleeper_id,2295,4658,Kevin Smith,WR,2014,1991-12-21,12571,00-0031320,17257,2
sleeper_id,2697,4263,Corey Moore,S,2015,1993-01-28,12982,00-0032050,2578554,2
sleeper_id,2697,8350,Corey Moore,LB,2000,1993-01-28,5738,00-0032050,2578554,2
sleeper_id,2859,3873,Justin Hamilton,DT,2016,1993-07-27,13502,00-0031636,2574009,2
sleeper_id,2859,7159,Justin Hamilton,S,2006,1982-09-17,8463,00-0031636,2574009,2
sleeper_id,780,6156,Tony Carter,CB,2009,1986-05-24,10235,00-0026515,12771,2
sleeper_id,780,9649,Tony Carter,RB,0,1972-08-23,1858,00-0026515,12771,2
